"","x"
"1","3463"
"2","2511"
"3","3532"
"4","3579"
"5","3257"
"6","3694"
"7","2261"
"8","3951"
"9","3363"
"10","3711"
"11","2231"
"12","2851"
"13","4961"
"14","3460"
"15","2651"
"16","2390"
"17","3565"
"18","2672"
"19","2034"
"20","2952"
"21","3949"
"22","30"
"23","3678"
"24","3727"
"25","2812"
"26","3623"
"27","3342"
"28","3096"
"29","2045"
"30","3915"
"31","3699"
"32","3083"
"33","3636"
"34","2013"
"35","2999"
"36","2752"
"37","3861"
"38","3322"
"39","2064"
"40","3325"
"41","3710"
"42","3634"
"43","3469&3499"
"44","3061"
"45","3969"
"46","3425"
"47","3593"
"48","3500"
"49","1761"
"50","3085"
"51","3494"
"52","3531"
"53","5140"
"54","2679"
"55","3647"
"56","3961"
"57","2711"
"58","3993"
"59","3542"
"60","2898"
"61","3675"
"62","3621"
"63","2241"
"64","2677"
"65","2652"
"66","3540"
"67","2415"
"68","7549"
"69","37"
"70","3612"
"71","2413"
"72","3550"
"73","2992"
"74","3843"
"75","3376"
"76","5105"
"77","2799"
"78","3774"
"79","3832"
"80","3490"
"81","5013"
"82","2840"
"83","3354"
"84","3481"
"85","3300"
"86","9199&5093"
"87","2833"
"88","7390"
"89","423"
"90","3478"
"91","4537"
"92","3433"
"93","9700"
"94","3464"
"95","3016"
"96","2889"
"97","2026"
"98","7389"
"99","2221"
"100","2079"
"101","2452"
"102","3467"
"103","4958"
"104","3665"
"105","3297"
"106","9190"
"107","6311"
"108","2599"
"109","3568"
"110","40,41"
"111","2871"
"112","2765"
"113","2600"
"114","373"
"115","3698"
"116","517"
"117","8412"
"118","501"
"119","8764"
"120","2284"
"121","2046"
"122","3417"
"123","3364"
"124","2035"
"125","3782"
"126","41"
"127","3845"
"128","4950"
"129","7359"
"130","8919"
"131","3933"
"132","1423"
"133","1330"
"134","7629"
"135","2431"
"136","3469&3471"
"137","3964"
"138","2821/3086"
"139","5044"
"140","3641"
"141","911"
"142","2308"
"143","4172"
"144","2230"
"145","6519"
"146","3849"
"147","3113"
"148","32"
"149","3084"
"150","2491"
"151","347"
"152","1142"
"153","9111"
"154","8711"
"155","44"
"156","3828"
"157","1334"
"158","4219"
"159","4141"
"160","3661"
"161","3742"
"162","5095"
"163","9621"
"164","1795"
"165","3259"
"166","1611"
"167","4210"
"168","22"
"169","2011"
"170","24"
"171","3471/3469"
"172","33,633,364"
"173","3841, 3079"
"174","2821 3086"
"175","1429/3273/2951"
"176","344"
"177","3841/3842"
"178","5093/4953"
"179","3067"
"180","4853"
"181","2624"
"182","3329"
"183","49"
"184","5089"
"185","2037"
"186","3725"
"187","1953"
"188","4212 & 1629"
"189","3173"
"190","9681"
"191","3299"
"192","4592"
"193","3648"
"194","9224"
"195","5999"
"196","1420"
"197","1411"
"198","2297"
"199","2099"
"200","3362"
"201","3174"
"202","6912"
"203","5150"
"204","2670"
"205","26"
"206","2295"
"207","4230"
"208","5087"
"209","5032"
"210","334511"
"211","3040"
"212","4789"
"213","417"
"214","47"
"215","50,155,093"
"216","8733"
"217","304"
"218","20"
"219","10"
"220","3115"
"221","3741"
"222","3474"
"223","33,653,366"
"224","165"
"225","3646"
"226","3053"
"227","3357, 3679"
"228","2031"
"229","9711/4581"
"230","7353 & 4213"
"231","2700"
"232","3841/3079"
"233","331,533,563,357"
"234","9711/3441"
"235","135-407"
"236","34,333,585"
"237","3609"
"238","5231"
"239","3278"
"240","327300"
"241","4953 & 3873"
"242","28,422,836"
"243","7353"
"244","3273, 2951, 7538"
"245","3585 3728 3829"
"246","335,633,573,399"
"247","396,534,693,471"
"248","28,212,851"
"249","1442 & 5032"
"250","4493-06"
"251","2531"
"252","3499 and 3562"
"253","3469 & 3496"
"254","1437 & 2951 & 1429"
"255","3479/3462"
"256","367,930,892,297"
"257","5014/7534"
"258","501/451"
"259","3891"
"260","1825"
"261","6544"
"262","501/4151"
"263","3273 2951"
"264","9453"
"265","3679,3089 2297"
"266","3351 3316 3356"
"267","2728"
"268","3827 3674 3672"
"269","3471 3479"
"270","3372"
"271","2951-3273-4029-1442"
"272","327,329,517,538"
"273","32,732,951"
"274","501/4154"
"275","3274"
"276","396,534,693,474"
"277","1429-1442"
"278","1429/1442"
"279","28,512,821"
